20-10-4 18:55:44.4|Info|MigrationLogger|*** 35: add_series_folder_format_to_naming_config migrating ***
20-10-4 18:55:44.4|Info|add_series_folder_format_to_naming_config|Starting migration to 35
20-10-4 18:55:44.4|Info|MigrationLogger|*** 36: update_with_quality_converters migrating ***
20-10-4 18:55:44.4|Info|update_with_quality_converters|Starting migration to 36
20-10-4 18:55:44.5|Info|MigrationLogger|*** 37: add_configurable_qualities migrating ***
20-10-4 18:55:44.5|Info|add_configurable_qualities|Starting migration to 37
20-10-4 18:55:44.5|Info|MigrationLogger|*** 38: add_on_upgrade_to_notifications migrating ***
20-10-4 18:55:44.5|Info|add_on_upgrade_to_notifications|Starting migration to 38
20-10-4 18:55:44.5|Info|MigrationLogger|*** 39: add_metadata_tables migrating ***
20-10-4 18:55:44.5|Info|add_metadata_tables|Starting migration to 39
20-10-4 18:55:44.5|Info|MigrationLogger|*** 40: add_metadata_to_episodes_and_series migrating ***
20-10-4 18:55:44.5|Info|add_metadata_to_episodes_and_series|Starting migration to 40
20-10-4 18:55:44.5|Info|MigrationLogger|*** 41: fix_xbmc_season_images_metadata migrating ***
20-10-4 18:55:44.5|Info|fix_xbmc_season_images_metadata|Starting migration to 41
20-10-4 18:55:44.5|Info|MigrationLogger|*** 42: add_download_clients_table migrating ***
20-10-4 18:55:44.5|Info|add_download_clients_table|Starting migration to 42
20-10-4 18:55:44.5|Info|MigrationLogger|*** 43: convert_config_to_download_clients migrating ***
20-10-4 18:55:44.5|Info|convert_config_to_download_clients|Starting migration to 43
20-10-4 18:55:44.5|Info|MigrationLogger|*** 44: fix_xbmc_episode_metadata migrating ***
20-10-4 18:55:44.5|Info|fix_xbmc_episode_metadata|Starting migration to 44
20-10-4 18:55:44.5|Info|MigrationLogger|*** 45: add_indexes migrating ***
20-10-4 18:55:44.5|Info|add_indexes|Starting migration to 45
20-10-4 18:55:44.6|Info|MigrationLogger|*** 46: fix_nzb_su_url migrating ***
20-10-4 18:55:44.6|Info|fix_nzb_su_url|Starting migration to 46
20-10-4 18:55:44.6|Info|MigrationLogger|*** 47: add_temporary_blacklist_columns migrating ***
