09:31:27 [INFO    ][deluge.configmanager:52  ] Setting config directory to: /config
09:31:28 [INFO    ][deluge.core.daemon            :94  ] Deluge daemon 2.0.3-2-201906121747-ubuntu18.04.1
09:31:28 [INFO    ][deluge.core.core              :339 ] Successfully loaded session.state: /config/session.state
09:31:28 [INFO    ][deluge.core.core              :339 ] Successfully loaded session.state: /config/session.state.bak
09:31:28 [INFO    ][deluge.core.alertmanager      :148 ] Alert Queue Size set to 10000
09:31:28 [INFO    ][deluge.core.rpcserver         :402 ] Starting DelugeRPC server localhost:58846
09:31:28 [INFO    ][twisted                       :154 ] Factory (TLS) starting on 58846
09:31:28 [INFO    ][twisted                       :154 ] Starting factory <twisted.internet.protocol.Factory object at 0x7fb4ab60bb38>
13:12:31 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:32 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:32 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:33 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:33 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:34 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:34 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:35 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:35 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:36 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:36 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:37 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:37 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:38 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:38 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:39 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:39 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:40 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:40 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:40 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:41 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part II (1974) [2160p] [4K] [WEB] [5.1] [YTS.MX]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:41 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
13:12:41 [WARNING ][deluge.core.torrentmanager    :1617] on_alert_performance: The Godfather Part 3 (1990) [1080p]: performance warning: max outstanding piece requests reached, outstanding_request_limit_reached
